,class,mask,confidence
0,spacing,masks-spacing/202108141528_001_0005_05_07.png,0.555917223294576
1,spacing,masks-spacing/202108131305_001_0004_04_01.png,0.5900563291860538
2,spacing,masks-spacing/202108141528_001_0005_05_06.png,0.5521923626633425
3,spacing,masks-spacing/202108141528_001_0005_05_04.png,0.0
4,spacing,masks-spacing/202108131305_001_0004_04_03.png,0.5319346019199916
5,spacing,masks-spacing/202108131305_001_0004_04_02.png,0.5340904623775159
6,spacing,masks-spacing/202108141528_001_0005_05_05.png,0.5531291388646727
7,spacing,masks-spacing/202108141528_001_0005_05_01.png,0.5605742405278022
8,spacing,masks-spacing/202108131305_001_0004_04_06.png,0.5151876501134924
9,spacing,masks-spacing/202108131305_001_0004_04_07.png,0.580655535205607
10,spacing,masks-spacing/202108150921_001_0006_06_08.png,0.5693454318576389
11,spacing,masks-spacing/202108141528_001_0005_05_02.png,0.0
12,spacing,masks-spacing/202108121517_001_0003_03_08.png,0.5593182821599204
13,spacing,masks-spacing/202108131305_001_0004_04_05.png,0.5224656422932943
14,spacing,masks-spacing/202108131305_001_0004_04_04.png,0.5051563807896206
15,spacing,masks-spacing/202108141528_001_0005_05_03.png,0.5320741606921684
16,spacing,masks-spacing/202108101052_001_0001_01_06.png,0.5581683688693576
17,spacing,masks-spacing/202108111042_001_0002_02_05.png,0.5944708523482833
18,spacing,masks-spacing/202108111042_001_0002_02_04.png,0.529699961344401
19,spacing,masks-spacing/202108101052_001_0001_01_07.png,0.5693897560746493
20,spacing,masks-spacing/202108101052_001_0001_01_05.png,0.5672074386051723
21,spacing,masks-spacing/202108111042_001_0002_02_06.png,0.5880530988666374
22,spacing,masks-spacing/202108111042_001_0002_02_07.png,0.5591526444340165
23,spacing,masks-spacing/202108101052_001_0001_01_04.png,0.5804775647880617
24,spacing,masks-spacing/202108111042_001_0002_02_03.png,0.0
25,spacing,masks-spacing/202108111042_001_0002_02_02.png,0.5678296909210788
26,spacing,masks-spacing/202108101052_001_0001_01_01.png,0.5727667846679687
27,spacing,masks-spacing/202108101052_001_0001_01_03.png,0.5999497434925904
28,spacing,masks-spacing/202108111042_001_0002_02_01.png,0.5875533616044514
29,spacing,masks-spacing/202108101052_001_0001_01_02.png,0.5402561325624765
30,spacing,masks-spacing/202108101052_001_0001_01_08.png,0.5257057189941406
31,spacing,masks-spacing/202108111042_001_0002_02_08.png,0.5773709289029113
32,spacing,masks-spacing/202108121517_001_0003_03_04.png,0.0
33,spacing,masks-spacing/202108150921_001_0006_06_06.png,0.5621433033662684
34,spacing,masks-spacing/202108131305_001_0004_04_08.png,0.5410755590065238
35,spacing,masks-spacing/202108150921_001_0006_06_07.png,0.573500758503448
36,spacing,masks-spacing/202108121517_001_0003_03_05.png,0.5279971636258639
37,spacing,masks-spacing/202108121517_001_0003_03_07.png,0.5680908326677948
38,spacing,masks-spacing/202108150921_001_0006_06_05.png,0.5715820526909214
39,spacing,masks-spacing/202108150921_001_0006_06_04.png,0.0
40,spacing,masks-spacing/202108121517_001_0003_03_06.png,0.5802458969340448
41,spacing,masks-spacing/202108121517_001_0003_03_02.png,0.5686802203838642
42,spacing,masks-spacing/202108141528_001_0005_05_08.png,0.5732778248034025
43,spacing,masks-spacing/202108150921_001_0006_06_01.png,0.0
44,spacing,masks-spacing/202108121517_001_0003_03_03.png,0.0
45,spacing,masks-spacing/202108121517_001_0003_03_01.png,0.5503973776464304
46,spacing,masks-spacing/202108150921_001_0006_06_03.png,0.5604575872421265
47,spacing,masks-spacing/202108150921_001_0006_06_02.png,0.5166186725392061
